gene_symbol	ensembl	version
TMEM51-AS2	ENSG00000204464	v39
MFFP1	ENSG00000215720	v39
ZBTB2P1	ENSG00000278480	v39
FHAD1	ENSG00000142621	v39
FHAD1-AS1	ENSG00000233485	v39
ENSG00000236045	ENSG00000236045	v39
ENSG00000228140	ENSG00000228140	v39
EFHD2	ENSG00000142634	v39
CTRC	ENSG00000162438	v39
CELA2A	ENSG00000142615	v39
CELA2B	ENSG00000215704	v39
CASP9	ENSG00000132906	v39
DNAJC16	ENSG00000116138	v39
SCARNA21B	ENSG00000251866	v39
ENSG00000272510	ENSG00000272510	v39
AGMAT	ENSG00000116771	v39
ENSG00000237301	ENSG00000237301	v39
CHCHD2P6	ENSG00000235084	v39
RNU7-179P	ENSG00000252417	v39
CD24P1	ENSG00000236500	v39
DDI2	ENSG00000197312	v39
RSC1A1	ENSG00000215695	v39
ENSG00000271742	ENSG00000271742	v39
PLEKHM2	ENSG00000116786	v39
ENSG00000237938	ENSG00000237938	v39
SLC25A34	ENSG00000162461	v39
SLC25A34-AS1	ENSG00000224459	v39
TMEM82	ENSG00000162460	v39
FBLIM1	ENSG00000162458	v39
RPL12P14	ENSG00000224321	v39
UQCRHL	ENSG00000233954	v39
ENSG00000178715	ENSG00000178715	v39
FLJ37453	ENSG00000179743	v39
SPEN	ENSG00000065526	v39
ENSG00000270620	ENSG00000270620	v39
ZBTB17	ENSG00000116809	v39
ENSG00000234607	ENSG00000234607	v39
ENSG00000231353	ENSG00000231353	v39
ENSG00000275503	ENSG00000275503	v39
TBC1D3P6	ENSG00000224966	v39
SRARP	ENSG00000183888	v39
ENSG00000233078	ENSG00000233078	v39
HSPB7	ENSG00000173641	v39
CLCNKA	ENSG00000186510	v39
ENSG00000232456	ENSG00000232456	v39
CLCNKB	ENSG00000184908	v39
FAM131C	ENSG00000185519	v39
EPHA2	ENSG00000142627	v39
ENSG00000227959	ENSG00000227959	v39
ENSG00000224621	ENSG00000224621	v39
ARHGEF19-AS1	ENSG00000234166	v39
ARHGEF19	ENSG00000142632	v39
ANO7L1	ENSG00000237276	v39
ENSG00000288398	ENSG00000288398	v39
CPLANE2	ENSG00000132881	v39
MT1XP1	ENSG00000233929	v39
FBXO42	ENSG00000037637	v39
SZRD1	ENSG00000055070	v39
RPL22P3	ENSG00000226457	v39
SPATA21	ENSG00000187144	v39
NECAP2	ENSG00000157191	v39
LINC01772	ENSG00000226029	v39
CROCCP3	ENSG00000080947	v39
RNU1-1	ENSG00000206652	v39
ENSG00000261135	ENSG00000261135	v39
ENSG00000285853	ENSG00000285853	v39
ENSG00000224174	ENSG00000224174	v39
LINC01783	ENSG00000233421	v39
RNU1-6P	ENSG00000277344	v39
PDE4DIPP8	ENSG00000225710	v39
NBPF1	ENSG00000219481	v39
ENSG00000271732	ENSG00000271732	v39
CROCCP2	ENSG00000215908	v39
ENSG00000283773	ENSG00000283773	v39
MST1P2	ENSG00000186301	v39
ENSG00000282143	ENSG00000282143	v39
RNU1-3	ENSG00000207513	v39
ENSG00000280114	ENSG00000280114	v39
EIF1AXP1	ENSG00000236698	v39
ESPNP	ENSG00000268869	v39
